title,price,availability,rating,genre,url,image_url,description,upc,scraped_at,session_id,container_id,scrape_duration,retry_count
It's Only the Himalayas,£45.17,In stock,2,Travel,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,http://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,,,2025-05-28T10:26:20.891144,travel-a71af8d6,worker-0,38.98,0
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,In stock,4,Travel,http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,http://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,,,2025-05-28T10:26:21.719308,travel-a71af8d6,worker-0,39.81,0
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,In stock,3,Travel,http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,http://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,,,2025-05-28T10:26:22.633283,travel-a71af8d6,worker-0,40.72,0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,In stock,2,Travel,http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,http://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,,,2025-05-28T10:26:23.408227,travel-a71af8d6,worker-0,41.5,0
Under the Tuscan Sun,£37.33,In stock,3,Travel,http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,http://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,,,2025-05-28T10:26:24.345273,travel-a71af8d6,worker-0,42.43,0
A Summer In Europe,£44.34,In stock,2,Travel,http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,http://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,,,2025-05-28T10:26:25.125217,travel-a71af8d6,worker-0,43.21,0
The Great Railway Bazaar,£30.54,In stock,1,Travel,http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,http://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,,,2025-05-28T10:26:25.898320,travel-a71af8d6,worker-0,43.99,0
A Year in Provence (Provence #1),£56.88,In stock,4,Travel,http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,http://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,,,2025-05-28T10:26:26.686723,travel-a71af8d6,worker-0,44.78,0
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,In stock,1,Travel,http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,http://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,,,2025-05-28T10:26:27.496443,travel-a71af8d6,worker-0,45.59,0
Neither Here nor There: Travels in Europe,£38.95,In stock,3,Travel,http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,http://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,,,2025-05-28T10:26:28.408251,travel-a71af8d6,worker-0,46.5,0
